"name","title","description","updated"
"81463ENG","Employment; sex,type of employment contract,job characteristics,cao-sector","Jobs, working hours and wag broken down by sex, type of employment co-
tract, cao-sector and job characteristics.","2016-09-06T02:00:00"
"81433ENG","Employment; sex; type of employment contract, job characteristics, SIC2008 ","Jobs and working hours broken down by economic activity and 
characteristics of employees and job.","2016-09-15T02:00:00"
"82575ENG","Employment, quarterly; national accounts","Employed persons, jobs, hours worked, also with seasonal correction
employee or self-employed, economic activity","2016-08-12T09:30:00"
"81432ENG","Employment; sex; type of employment contract, size of company, SIC2008","Jobs and working hours broken down by economic activity
and information about employee and company.","2016-09-15T02:00:00"
"81462ENG","Employment; sex, type of employment contract, size of company, cao-sector","Jobs and working hours broken down by cao-sector, sex, size of company
and type of employment contract","2016-09-06T02:00:00"
"80857eng","Vacancies (new and filled); government and education","Vacancies, new vacancies and filled vacancies
eight government sectors","2016-08-12T09:30:00"
"80474eng","Vacancies; seasonally adjusted","Vacancies; seasonally adjusted
by economic activities (SIC 2008), particuler firms and government","2016-08-12T09:30:00"
"80472eng","Vacancies; SIC 2008; private firms and government sectors","Unfilled vacancies, new vacancies and filled vacancies
by economic activities (SIC 2008), including government","2016-08-12T09:30:00"
"80473eng","Vacancies;SIC 2008;private sector","Unfilled vacancies, new vacancies and filled vacancies
by economic activities (SIC 2008), private firms","2016-08-12T09:30:00"
"80479eng","Monthly labour participation and unemployment (12-hours threshold)","Employed, unemployed, not included in the labour force, unemployment
by sex and age","2016-09-15T07:30:00"
"80590eng","Monthly labour participation and unemployment ","Employed, unemployed and not included in labour force according to 
international definition by sex and age","2016-09-15T07:30:00"
"71882eng","Labour force; since 1800 by personal characteristics (12-hours threshold)","Labour force, gross and net labour participation, unemployment
by sex, age, education and origin","2015-03-18T02:00:00"
"70066eng","Average periods school-leavers to find job by level of education","Average periods needed school - leavers to find job 
by level of education","2009-10-26T02:00:00"
"82838ENG","Cao wages, contractual wage costs and working hours; index (2010=100)","Cao wages, contractual wage costs and working hours, Index fig. 2010=100
monthly, SIC 2008","2016-09-01T02:00:00"
"82679ENG","Labour price index; index figures 2010=100; National Accounts","Labour price index; wage costs per hour worked
Branches SIC 2008","2016-07-25T02:00:00"
"37789eng","Key figures, number of benefits by type","Number of social security benefits and sick leave percentages.
Total number of benefits","2013-05-01T02:00:00"
"7101eng","Art education for amateurs; teaching hours","Biennial survey art training by number of staff, teaching hours,
institutions, receipts and costs. by type of art training","2009-06-23T02:00:00"
"70077eng","Professional performing arts; capacity, performances, attendance, region","Performing arts; theatres and halls/stages, capacity, performances
Region","2015-12-31T09:30:00"
"70763eng","Public libraries","Number of libraries, collection of volumes, volumes lent out, users
Type of collection, operating costs and revenues","2016-07-22T02:00:00"
"7083eng","Sports clubs and schools; members, operating costs and revenues","Sports clubs and sports schools
Members, operating costs and revenues","2010-01-15T09:30:00"
"70256eng","Sports clubs; staff, costs and revenues, membership, use of facilities","Staff, costs and revenues, membership, use sports facilities, volunteers
Type of sports club and period","2013-06-10T02:00:00"
"7193eng","Sports facilities; types and use","Swimming pools, indoor sports facilities, outdoor sports facilities
Period","2013-06-03T15:00:00"
"83466ENG","Tourism; key indicators, National Accounts","Tourism, contribution to the Dutch economy, key indicators.
Employment, value added and expenditures in the tourism industry.","2016-08-19T02:00:00"
"82671ENG","Tourist expenditure; National Accounts","Tourism expenditure. Expenditures outbound, inbound and domestic tourism.
Expenditures outbound tourism, inbound tourism and domestic tourism.","2016-08-19T02:00:00"
"7508eng","Amusement and theme parks; visitors, staff, costs and revenues","Number of amusement and theme parks, visitors, staff, costs, revenues
period, costs, revenues, visitors","2012-02-15T09:30:00"
"70220eng","Day trips by characteristics","Day trips, sunbathing, swimming, sports, visit to amusement park, etc.,
recreational shopping, going out","2009-08-03T02:00:00"
"82621ENG","Hotels; business related overnight stays, region","Business related overnight stays in hotels, motels, boarding houses,
apartments with hotel services, youth accommodation and b&b by region","2016-09-14T02:00:00"
"82061ENG","Hotels; guests, overnight stays, country of residence, region","Busisness related overnight stays in hotels, motels, boarding houses, 
apartments with hotel services, youth accommodation and b&b by region","2016-09-14T02:00:00"
"60029eng","Leisure activities","Participation; sports, hobbies, culture, recreation, going out,
use of the media and holidays by personal characteristics","2012-03-27T02:00:00"
"82062ENG","Overnight accommodation; capacity, type of accommodation, beds, region","Number of establishments, sleeping places (beds) and rooms
of overnight accommodation by type of accommodation and region","2016-09-14T02:00:00"
"82059ENG","Overnight accommodation; guests, country of residence, type, region ","Guests, overnight stays in hotels, holiday parks, groupaccommodation and
on camp sites by type of accommodation, regio and country of residence","2016-09-14T02:00:00"
"82058ENG","Overnight accommodation; guests, overnight stays, occupancy, key figures","Guests, overnight stays, occupancy in hotels, holiday parks, 
groupaccommodation and on camp sites by type of accommodation","2016-09-14T02:00:00"
"60027eng","Participation in social activities","Participation; contacts, personal situation, church,
volunteer work by personal characteristics.","2012-03-23T02:00:00"
"82219ENG","Overdrafts on current accounts","Overdrafts. 
Current accounts.","2016-08-30T02:00:00"
"7116eng","Savings","Deposits redeemable at notice - and with agreed maturity; 
Balance, mutations number of and interest payments.","2016-08-30T02:00:00"
"03744eng","Stocks: Market value on EURONEXT Amsterdam","Total value of shares quoted at the stock exchange, 
divided by sector and industry.","2016-08-30T02:00:00"
"82262ENG","Approaches of domestic product (GDP); National Accounts","Data on the output components, final expenditure categories
and income components of the Dutch GDP","2016-06-24T06:30:00"
"82239ENG","Contribution final expenditure to volume growth of GDP; National Accounts","Contribution to volume growth GDP by expenditure components
Annual data","2016-06-24T06:30:00"
"82602ENG","GDP, production and expenditures; changes, Quarterly National Accounts","Quarterly data on production, expenditures, income and external economic
transactions. Value, volume and price changes","2016-08-12T09:30:00"
"82601ENG","GDP, production and expenditures; value, Quarterly National Accounts","Quarterly data on production, expenditures, income and external economic
transactions. Values at current prices and chainlinked volume 2010 prices","2016-08-12T09:30:00"
"82599ENG","Gross fixed capital formation by destination; National Accounts","Gross fixed capital formation by destination
Economic activities conform Standard Industrial Classification 2008 (SIC)","2016-06-24T06:30:00"
"82600ENG","Gross fixed capital formation by type and by sector; National Accounts","Gross fixed capital formation by type of capital good on owner basis and
by institutional sectors","2016-06-24T06:30:00"
"83071ENG","Final consumption expenditure by purpose; National Accounts","Final consumption expenditure by purpose
Purposes conform COICOP classification","2016-06-24T06:30:00"
"83069ENG","Final consumption by type of goods and services; National Accounts","Final consumption expenditure
Type of goods and services","2016-06-24T06:30:00"
"83088ENG","Exports of goods and services by origin; National Accounts","Exports of goods and services by origin
Economic activiries by origin","2016-06-24T06:30:00"
"82604ENG","Gross fixed capital formation in tangible assets; year-on-year-changes","Fixed capital formation in tangible assets
Year on year volume changes","2016-08-19T06:30:00"
"83087ENG","Imports of goods and services by destination; National Accounts","Imports of goods and services
Economic activities and final expenditure","2016-06-24T06:30:00"
"82572ENG","Output and income by activity; National Accounts","Output, intermediate consumption, value added and income components
Standard Industrial Classification 2008 (SIC 2008)","2016-06-24T06:30:00"
"83068ENG","Supply and use by products of activity; National Accounts","Supply and use by products of activity
Groups of products of activity (CPA)","2016-06-24T06:30:00"
"83128ENG","Waste balance, key figures; national accounts","Waste by categories
Origin and destination of waste","2015-07-24T02:00:00"
"83300ENG","Emissions to air by the Dutch economy; national accounts ","emissions to air, climate change, greenhouse gases, CO2, ozone layer
air pollution, acidification, environmental accounts, ","2016-01-19T02:00:00"
"82955ENG","Environmental accounts; emissions to water, origin and destination","Emissions of heavy metals and nutrients
Emissions of industries and households, different types of destination","2015-01-30T02:00:00"
"82238ENG","Environmental accounts; energy use by companies and households","Energy use by companies and households in the Dutch economy
Energy, Energy use, Energy accounts Dutch economy, Energy supply","2015-01-19T02:00:00"
"83154ENG","Environmental goods and services sector, activities; national accounts","Environmental activities, environmental domain, environmental services
EGSS, environmental sector, recycling","2016-08-25T02:00:00"
"83155ENG","Environmental Goods and Services Sector, industries; national accounts","Environmental sector by economic activity and per environmental domain
Environmental protection, Resource management and Economic activity","2016-08-25T02:00:00"
"82725ENG","Environmental taxes and fees, revenues by taxpayer; national accounts","environmental taxes, environmental fees, waste tax, fuel tax, excise duty
tax payers, tax revenues, sewerage charges, mobility tax","2016-08-10T02:00:00"
"83180ENG","Extraction, import and export of materials; national accounts","material flow accounts, environmental accounts, biomass, minerals, metals
resources, semi-finished products, finished products, fossil energy","2016-02-03T02:00:00"
"83177ENG","Extraction, import and export of materials by continent; national accounts","Material flow accounts, environmental accounts, biomass, minerals, metals
biomassa, metalen, mineralen, materiaalstromen, grondstof, halffabrikaat","2016-02-03T02:00:00"
"82539ENG","Natural gas and oil reserves on the Dutch territory; national accounts","Natural gas and oil reserves on the Dutch territory
Opening stock, new discoveries, extraction and other changes","2016-09-16T02:00:00"
"83126ENG","Waste balance, kind of waste per sector; national accounts","Waste by categories
Origin and destination of waste","2015-07-24T02:00:00"
"82883ENG","Water use; industry and total private households","Tap water use, groundwater, surface water, industries, private household.
Water use or abstraction by industry and type of water","2014-11-18T02:00:00"
"82640ENG","Capital stock; national accounts","Capital stock; volume changes
SIC 2008; institutional sectors and asset types","2016-07-12T02:00:00"
"83193ENG","Growth accounts; national accounts","Productivity; labour; capital; growth accounts
SIC 2008","2015-12-30T05:30:00"
"82801ENG","Regional key figures; national accounts","GDP, GDP per capita, Value added, Compensation of employees, Labour input
Region","2015-10-20T02:00:00"
"82800ENG","Economic growth, GDP and value added volume changes; national accounts","GDP volume changes; Value added volume changes by economic activity
Value added volume changes by SIC 2008; Region","2016-04-21T06:30:00"
"82934ENG","Fixed capital formation by industry, SIC2008, region; national accounts","Fixed capital formation by Industry (SIC 2008)
SIC 2008, Region","2016-02-15T02:00:00"
"82935ENG","Fixed capital formation by type of capital good, region; national accounts","Fixed capital formation by type of capital good
Dwellings, non-residential buildings, civil engineering works, machinery","2016-02-15T02:00:00"
"82797ENG","Production process, economic activity, region; national accounts","Output; Gross value added; Labour input
Economic activity (SIC2008); Region; Periods","2016-02-24T02:00:00"
"82936ENG","Income accounts of the sector households, region; national accounts","Transactions of the sector households and per capita
Primary and secundary income distribution by region","2016-03-16T02:00:00"
"82594ENG","Key figures by sector; National Accounts","Sector accounts; key figures
Most important  figures of institutional sectors","2016-06-24T06:30:00"
"82958ENG","Income, consumption, wealth of households: key figures; National Accounts","Keyfigures on income, expenditure and net worth of households
Source of income, living situation, household composition, age and income","2016-06-01T02:00:00"
"82596ENG","Financial balance sheets and transactions by sectors; National Accounts","Financial balance sheets and transactions by economic sectors
Sectors, balance sheets, assets and liabilities","2016-06-24T06:30:00"
"83205ENG","Financial instruments: From-whom-to-whom matrices; National Accounts","Financial transactions between economic sectors
Sectors, balance sheets and transactions","2016-06-24T06:30:00"
"82959ENG","Income distribution of households; National Accounts","Income distribution of different household groups in the Netherlands
Source of income, living situation, household composition, age and income","2016-06-01T02:00:00"
"82643ENG","Macroeconomic scoreboard","Macroeconomic imbalances; macroeconomic risks; macroeconomic scoreboard; 
European Union; Quarter.","2016-07-08T02:00:00"
"82641ENG","Non-financial balance sheets; national accounts","Non financial balance sheets; volume changes
fixed assets; land; oil and gas reserves; consumer durables","2016-07-12T02:00:00"
"82595ENG","Current transactions by sector; National Accounts","Current transactions and balancing items of institutional sectors
Sectors, resources and uses, balancing items","2016-06-24T06:30:00"
"82960ENG","Wealth distribution of households; National Accounts","Wealth distribution of different household groups in the Netherlands
Source of income, living situation, household composition, age and income","2016-06-01T02:00:00"
"82265ENG","Structure national net lending/borrowing; National Accounts","Structure of national net lending/borrowing
Annual data","2016-06-24T06:30:00"
"37281eng","Energy balance sheet; key figures","Coal and products, crude oil feedstocks and products, other commodities
Indigenous production, im- and exports, bunkers, stock changes","2016-07-06T02:00:00"
"83141ENG","Energy consumption; components, branch","Energy consumption, supply, transformation, final consumption, delivery
Energy commodities, natural gas, electricity, renewable, oil, companies","2016-07-06T02:00:00"
"83140ENG","Energy balance sheet; supply, transformation and consumption","Energy, supply, transformation, consumption, final consumption
Natural gas, electricity, petroleum, hard coal, renewable energy, heat","2016-07-06T02:00:00"
"80324eng","Energy; consumption and producer prices by energy commodity","Domestic energy consumption and producer price index for total energy
commodities, natural gas, crude oil, hard coal, electricity and other","2016-08-16T02:00:00"
"71554eng","Coal and coal products; indigenous production, imports, exports; from 1802","Indigenous production, imports and exports and supply of coal and output
of patent fuel, coke oven cokes and gas works gas","2016-07-06T02:00:00"
"83325ENG","Crude balance sheet; supply, consumption and stock ","Crude; supply and consumption
Crude balance sheet; supply, consumption and stock","2016-08-24T02:00:00"
"37621eng","Hard coal balance sheet; supply and consumption","Imports, exports, stock change and consumption by power plants
and manufacturing","2016-07-15T02:00:00"
"00372eng","Natural gas balance sheet; supply and consumption","Indigenous production, imports, exports, stock change, consumption 
via grids and for extraction, flaring and venting.","2016-07-21T02:00:00"
"83403ENG","Petroleum products balance sheet; supply, consumption and stock"," Petroleum product supply and consumption 
Petroleum products balance sheet; supply, consumption and stock","2016-08-24T02:00:00"
"00377eng","Electricity balance sheet; supply and consumption","Central and decentral production, imports, exports, consumption,
via national and industrial grids, grid losses.","2016-07-15T02:00:00"
"80030eng","Electricity and heat; production and input by energy commodity","Production of electricity and heat, input of energy commodities
Central/decentral production, energy commodities","2016-07-08T02:00:00"
"37823eng","Electricity; production and means of production","Production of electricity and heat. Input of fuels. Installed capacity.
By sector, installation type and Combined Heat and Power.","2016-07-07T02:00:00"
"81528ENG","Energy consumption private dwellings; type of dwelling and regions","Average consumption of gas and electricity, type of dwelling, district
heating by region","2016-07-21T02:00:00"
"82375ENG","Energy consumption households; energy commodities","Energy consumption of hard coal, lignite, petroleum products, natural gas
Gas/diesel oil, electricity, waste","2016-06-17T02:00:00"
"83374ENG","Energy intensities of buildings in the services sector; floor area","Energy intensities services by floor area
gas electricity servivces sector floor area","2016-03-11T05:30:00"
"83376ENG","Energy intensities of buildings in the services sector; construction period","Energy intensities services by contrcuction period
Gas electricity sector construction period services ","2016-03-11T05:30:00"
"80101eng","Motor fuels for transport; deliveries by petajoule, weight and volume","Deliveries for final consumption and bunkers of motor fuels for road
transport, water transport and air transport","2016-08-30T02:00:00"
"82117ENG","Natural gas, electricity; supplies national grid to construction, services","Supplies natural gas and electricity, public grid
Companies, SIC 2008","2016-06-17T02:00:00"
"82538ENG","Supplies natural gas, electricity, public grid; companies, SIC 2008, region","Supply of natural gas and electricity, public grid
Companies, provinces, municipalities","2016-07-07T02:00:00"
"37215eng","Steam coal; import price from non EU-countries","Import price steam coal non EU-countries
Import price, net calorific value","2016-06-17T02:00:00"
"71456eng","Liquid biofuels for transport; supply, consumption and blending","Supply, consumption and blending of biofuels
broken down into biogasoline and biodiesel.","2016-06-30T02:00:00"
"83109ENG","Renewable energy; final use and avoided use of fossil energy","Avoided use of fossil primary energy and avoided emission of CO2
wind, solar, hydro, geothermal energy, aerothermal heat and biomass","2016-06-30T02:00:00"
"70802eng","Wind energy; electricity production, capacity and supply of wind by month","Production of electricity, capacity and supply of wind
On land/ off shore","2016-09-14T02:00:00"
"81810ENG","Industry; production and sales, changes and index (2010=100)","Indexfigures and changes of production, total turnover, domestic 
and foreign turnover in the industry by sectors and branches (SIC2008)","2016-09-08T06:30:00"
"81984ENG","Manufacturing; stocks of finished goods, 2010 = 100","Index figures and changes of stocks of finished goods in manufacturing 
(SIC 2008)","2016-08-30T06:30:00"
"82444ENG","New orders manufacturing; SIC 2008, index 2010=100, 2005-2013","Indexfigures and changes of received orders, total, domestic and foreign,
 in the manufacturing industry sectors and branches (SIC2008)","2014-05-09T02:00:00"
"37221eng","Emissions to air on Dutch territory; totals","Air pollution, total actual emissions in the Netherlands
Stationary and mobile sources, by source category","2016-09-15T02:00:00"
"70946eng","Emissions of greenhouse gases according to IPCC guide-lines","Dutch greenhouse gas emissions, calculated according to
the IPCC directives, by source category","2016-09-15T02:00:00"
"80448eng","Emissions to air on Dutch territory; mobile sources","Air pollution, emissions and emission factors of mobile sources
Road traffic, inland shipping, railways, aviation, navigation, machinery.","2016-09-15T02:00:00"
"70947eng","Emissions of air polluting substances according to NEC guide-lines","Air pollution, Dutch emissions calculated according to
the European Union 'NEC' directive. By source category.","2016-09-15T02:00:00"
"7063eng","Emissions to air on Dutch territory; road traffic","Air pollution, emissions and emission factors of road traffic by
vehicle category, fuel type and road type","2016-09-15T02:00:00"
"83390ENG","Emissions to air on Dutch territory; stationary sources","Air polluting substances and greenhouse gases
Refineries, electricity and gas supply, industry, private households","2016-09-14T02:00:00"
"82861ENG","Environment costs and -expenditure; enterprises > 10 employees; key figures","Investments and net annual costs of environmental measures
Mining and quarrying, Manufacturing and Public utilities","2016-08-10T02:00:00"
"7467eng","Municipal waste; quantities","Amount of waste collected by the municipal authorities broken down by
province, size class and degree of urbanization","2016-07-26T02:00:00"
"7477eng","Urban waste water treatment per province and river basin district","Urban waste water treatment plants: number and capacity, influents,
effluents and sewage sludge; results by province and river basin district","2016-04-13T06:30:00"
"70262ENG","Land use; all categories, municipalities","Traffic area, Built up area, Forest, Natural area, Water
Netherlands, Municipalities","2016-02-25T05:30:00"
"37105ENG","Land use; main categories; regional, 1900 onwards","Traffic area, Built up area, Forest, Natural area, Water
Netherlands and Provinces","2016-02-25T05:30:00"
"37422eng","Birth; key figures","Key figures on birth by sex, birth order or marital status of the
mother. Including figures on stillborn children and multiple births","2016-06-30T02:00:00"
"37979eng","Mortality; key figures","Mortality: key figures by sex. Including figures on
infant mortality, perinatal mortality and life expectancy at birth","2016-08-08T02:00:00"
"37772eng","Marriages and partnership registrations; key figures","Marriages between partners of the same and opposite sex, partnership
registrations and marriage partners","2016-06-20T02:00:00"
"37425eng","Marriage dissolutions; due to divorce and death","Marriage dissolutions due to divorce and death,
average age","2016-09-15T02:00:00"
"03742eng","External migration; sex, age, marital status and country of birth","Immigration and emigration and the administrative corrections in
the Netherlands by country of birth, sex, age and marital status,","2016-06-13T02:00:00"
"03743eng","Population; sex, age and nationality, 1 January","Population on 1 January by nationality,
age and sex","2016-01-22T02:00:00"
"37325eng","Population; sex, age, origin and generation, 1 January","Population in The Netherlands by generation, 
sex, age, marital status and origin, 1 January","2016-09-15T02:00:00"
"37296eng","Population; key figures","Population: key figures by sex, marital status, age, foreign background,
households and population growth","2016-01-22T02:00:00"
"82905ENG","Households; size, composition, position in the household, 1 January","Households in the Netherlands size and composition
Persons by position in the household on 1 January","2015-12-09T02:00:00"
"37556eng","Population, households and population dynamics; from 1899","Population, households, population growth, births, mortality, marriages,
marriage dissolutions, change of nationality and migration","2016-09-16T02:00:00"
"7461eng","Population; sex, age and marital status, 1 January 1950-2015","Population in The Netherlands by sex, age and 
marital status, 1 January","2015-09-11T02:00:00"
"37259eng","Population dynamics; birth, death and migration per region","Population growth by birth, death and migration,
per sex and region,","2016-09-07T02:00:00"
"82683ENG","Key figures of the population forecasts 2014-2060","Population, births, deaths and migration
Forecastinterval","2014-12-18T09:30:00"
"37943eng","Population and population dynamics; month, quarter and year","Monthly statistics, size of the Dutch population and births, deaths,
external migration, marriages, divorces and requests for asylum, ","2016-08-30T02:00:00"
"80346eng","Consumer prices; average prices of consumer goods since 2000","Average prices of consumer goods like fuels, eating and drinking in cafes
and restaurants, food products and services","2016-02-29T15:30:00"
