"name","title","description","updated"
"82519ENG","Dutch Caribbean; jobs and wages, economic activity (SIC2008)","Jobs and average annual wages of employees 
 broken down by wage category and economic activity (SIC2008) ","2015-10-02T15:00:00"
"80534ENG","Caribbean Netherlands; population  (1 January) sex, age","Population Dutch Caribbean
Sex, Age","2015-08-12T02:00:00"
"80539ENG","Caribbean Netherlands; population growth births, deaths, migration","Population growth of Caribbean Netherlands
Births, deaths, migration","2016-09-16T02:00:00"
"81122eng","Caribbean Netherlands; consumer price index (CPI) 2010=100","Consumer price index, Quarter-on-Quarter change, Year-on-year change
Spending category per Caribbean island","2016-07-13T15:30:00"
"83396ENG","Caribbean Netherlands, Bonaire; sold dwellings price index 2011=100","Price indices, number sold, changes 
Periods","2016-02-29T15:30:00"
"37729eng","Bankruptcies by company characteristics and province, 1993-2011","Bankruptcies by region and company characteristics: legal form, number of
employees, life time, main activity, regions","2013-10-01T02:00:00"
"60028eng","Participation in politics","Participation; political favour and voting behaviour, political
interest and opinions by personal characteristics","2010-02-03T02:00:00"
"37518eng","Vacancies; SIC`93; private firms and government sectors, 1997-2009","Unfilled vacancies, new vacancies and filled vacancies
by economic activities (SIC 1993), including government","2010-05-10T09:30:00"
"37881eng","Daily time use","Daily time use in hours and in % participation
Time use, gender","2009-07-31T02:00:00"
"03766eng","Key figures of the population forecasts 2010-2060","Population forecasts: key figures
Most important key indicators of the population forecasts","2013-07-19T02:00:00"
"70753eng","Producer Prices (2000 = 100) by ProdCom","Price index numbers including and excluding excise
according to product nomenclature Prodcom","2009-04-16T02:00:00"
"70752eng","Producer Prices (2000 = 100) by SBI '93","Price index number including and excluding excise
According to activity nomenclature SBI'93","2009-04-16T02:00:00"
"37255ENG","Active fleet of passengercars reference date 1-1-2000","Active fleet of passengercars 1-1-2000. Divided by characteristics;
type, color, car mark and type by years of construction","2000-11-27T09:13:00"
"37612ENG","Commercial vehicles on 1-1-2000","Active fleet of Commercial vehicles 1 - 1-2000. Characteristics: model,
fuel type, class empty weight, loadingcapacity by years of construction","2000-11-27T09:15:00"
"37112ENG","Number of motorcycles on 1-1-2000","Active fleet of motorcycles 1 - 1-2000. Divided by characteristics;
type, motor mark by years of construction","2000-11-24T14:05:00"
